Handle,Title,Body (HTML),Vendor,Type,Tags,Status,Variant SKU,Variant Price,Image Src,Image Position
tapas-retrax-one-xr,Retrax One XR,<p>Tapa retráctil manual con rieles ranurados.</p><p><strong>Tipo:</strong> Retráctil manual con rieles ranurados<br><strong>Procedencia:</strong> Estados Unidos<br><strong>Material:</strong> Policarbonato</p>,ISperformance,Tapas,"Tapas, Retráctil manual con rieles ranurados",active,TAP-001,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/RETRAX_ONE_XR.jpg,1
tapas-retrax-one-xr,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/RETRAX_ONE_XR1.jpg,2
tapas-retrax-one-mx,Retrax One MX,<p>Tapa retráctil manual.</p><p><strong>Tipo:</strong> Retráctil manual<br><strong>Procedencia:</strong> Estados Unidos<br><strong>Material:</strong> Policarbonato</p>,ISperformance,Tapas,"Tapas, Retráctil manual",active,TAP-002,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/RETRAX_ONE_MX.jpg,1
tapas-retrax-one-mx,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/RETRAX_ONE_MX1.jpg,2
tapas-lona-rígida-keko,Lona Rígida Keko,<p>Tapa retráctil eléctrico - manual.</p><p><strong>Tipo:</strong> Retráctil eléctrico/manual<br><strong>Procedencia:</strong> Brasil<br><strong>Material:</strong> Policarbonato</p>,ISperformance,Tapas,"Tapas, Retráctil eléctrico/manual",active,TAP-003,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/LONA_RIGIDA_KEKO.jpeg,1
tapas-lona-rígida-keko,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/LONA_RIGIDA_KEKO1.jpeg,2
tapas-bulx15-20-power,BULX15 2.0 Power,<p>Tapa retráctil eléctrica.</p><p><strong>Tipo:</strong> Retráctil eléctrica<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Aluminio</p>,ISperformance,Tapas,"Tapas, Retráctil eléctrica",active,TAP-004,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX15_2.0_POWER.jpeg,1
tapas-bulx15-20-power,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX15_2.0_POWER1.jpeg,2
tapas-bulx15-20,BULX15 2.0,<p>Tapa retráctil manual.</p><p><strong>Tipo:</strong> Retráctil manual<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Aluminio</p>,ISperformance,Tapas,"Tapas, Retráctil manual",active,TAP-005,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX15_2.0.jpeg,1
tapas-bulx15-20,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX15_2.01.jpeg,2
tapas-bulx20,BULX20,<p>Tapa enrollable dura.</p><p><strong>Tipo:</strong> Enrollable dura<br><strong>Procedencia:</strong> China<br><strong>Material:</strong> Paneles de aluminio</p>,ISperformance,Tapas,"Tapas, Enrollable dura",active,TAP-006,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX20.jpeg,1
tapas-bulx5-slim,BULX5 Slim,<p>Tapa plegable dura.</p><p><strong>Tipo:</strong> Plegable dura<br><strong>Procedencia:</strong> Estados Unidos<br><strong>Material:</strong> Aluminio alta resistencia</p>,ISperformance,Tapas,"Tapas, Plegable dura",active,TAP-007,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX5_SLIM.jpeg,1
tapas-bulx5-slim,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX5_SLIM1.jpeg,2
tapas-bulx5-slim,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/BULX5_SLIM2.jpeg,3
tapas-solid-fold-20,Solid Fold 2.0,<p>Tapa plegable dura Heavy Duty.</p><p><strong>Tipo:</strong> Plegable dura<br><strong>Procedencia:</strong> Estados Unidos<br><strong>Material:</strong> Polipropileno</p>,ISperformance,Tapas,"Tapas, Plegable dura",active,TAP-008,0,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/SOLID_FOLD_2.0.jpg,1
tapas-solid-fold-20,,,,,,,,,https://daretoh.github.io/ISGROUP/isperformance/img/tapas/SOLID_FOLD_2.01.jpg,2
