Categoria,Producto,Marca,Modelo,Año_desde,Año_hasta,Precio
Tapas,Retrax One XR,Toyota,Hilux,2018,2025,
Tapas,Retrax One MX,Toyota,Hilux,2018,2025,
Tapas,Retrax One MX,Ford,Ranger,2019,2025,
Tapas,Retrax One MX,Nissan,Navara,2020,2025,
Tapas,Lona Rígida Keko,,,,,
Tapas,BULX15 2.0 Power,Toyota,Hilux,2018,2025,
Tapas,BULX15 2.0,Ford,Ranger,2019,2025,
Tapas,BULX20,,,,,
Tapas,BULX5 Slim,,,,,
Tapas,Solid Fold 2.0,Nissan,Navara,2020,2025,
Tapas,Lona Marítima Flex,Mitsubishi,L200,2020,2025,
Tapas,Lona Marítima Flex,Toyota,Hilux,2018,2025,
Tapas,Trifold,,,,,
Pisaderas,Keko K1,Toyota,Hilux,2018,2025,
Pisaderas,Keko My Trip,,,,,
Pisaderas,K2 My Way,Ford,Ranger,2019,2025,
Pisaderas,Keko My Road,,,,,
Pisaderas,Integral K1,,,,,
Pisaderas,Shark Heavy Duty,,,,,
Pisaderas,Heavy Duty TRD,,,,,
Pisaderas,Aluminio,,,,,
Pisaderas,Infinity,Nissan,Navara,2020,2025,
Pisaderas,Tubulares,,,,,
Barras,Keko K1,Toyota,Hilux,2018,2025,
Barras,Keko K3,Ford,Ranger,2019,2025,
Barras,Especiales,,,,,
Barras,Básica,,,,,
Barras,Premium,Chevrolet,Colorado,2020,2024,
Barras,Negras,,,,,
